"","Cluster","cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1363","C3","C3","GO:0016042","lipid catabolic process","44/1038","293/23239",1.64884390593088e-12,8.60696518895922e-09,6.88348940097041e-09,"11666/106861/52538/102632/11363/11364/11430/11539/11652/11816/75704/12801/74114/13167/93747/18606/66841/14466/102238433/74182/14756/15107/97212/231086/114664/15926/101490/56357/17939/100163/19302/225845/18783/211429/18797/18799/18805/18806/18807/103968/69060/18947/20397/20750",44
"1372","C3","C3","GO:0046879","hormone secretion","41/1038","353/23239",2.42295775629301e-08,1.26478394878495e-05,1.01152110120611e-05,"78894/268860/269275/11535/11539/11607/12015/12289/18555/12638/12801/13350/13447/13615/277978/14462/93692/14756/15107/15251/16535/17069/228355/17202/76055/18125/23957/18387/218461/18641/223775/75767/74998/52055/12394/214597/102607/20750/319613/22320/26950",41
"1374","C3","C3","GO:0048608","reproductive structure development","47/1038","445/23239",4.60525206053599e-08,1.83444451262383e-05,1.46711170338094e-05,"11535/26362/12162/12505/12576/12577/12638/17684/50796/13615/13667/226090/214253/14183/14313/14388/14462/14463/15205/15251/50785/15486/17311/16669/16691/16842/107515/16867/16876/11614/26423/18783/56096/18799/11757/19156/12394/30953/20346/20708/20397/227631/20687/240725/99929/22187/22431",47
"1380","C3","C3","GO:0051186","cofactor metabolic process","48/1038","481/23239",1.87045949752703e-07,5.42433254282838e-05,4.33815343110654e-05,"11666/52538/214579/11674/11676/227683/67914/74114/107869/13057/13350/209692/14149/14275/109801/14718/14571/268566/14775/68312/103140/15251/15277/208715/15926/67834/16828/16832/107029/238505/18041/226518/74080/75475/75735/236900/18641/11757/54683/110391/19733/18174/68066/56857/54198/21881/21991/269523",48
"1389","C3","C3","GO:1905941","positive regulation of gonad development","7/1038","14/23239",9.05351858481265e-07,0.000175034692639711,0.000139985398469267,"12638/17684/50796/26423/12394/20346/22431",7
"1390","C3","C3","GO:0062012","regulation of small molecule metabolic process","36/1038","333/23239",9.82963830721367e-07,0.000183252542727341,0.000146557689948908,"11666/11307/11363/11364/11652/11816/12015/12156/12389/12801/13167/13350/66148/244373/66294/14756/15251/19062/71597/16867/107029/18125/236900/19302/18783/18799/18984/19045/76487/19733/19885/212980/20845/12257/269523/140858",36
"1393","C3","C3","GO:0009746","response to hexose","24/1038","179/23239",1.54621082517851e-06,0.000260361951852639,0.00020822655798499,"78894/269275/12015/12289/12368/18555/12638/13667/78943/14756/14775/15251/23957/18387/218461/236900/18641/223775/74998/52055/214597/56485/319613/26950",24
"1397","C3","C3","GO:0016055","Wnt signaling pathway","41/1038","418/23239",2.24461269632439e-06,0.000334767950708952,0.000267733351988648,"11816/70495/26362/12156/12234/67488/12389/12505/109901/12388/330938/77938/14183/14275/14462/14463/230824/68259/22289/16842/107515/14160/18099/672511/207742/192199/20191/66072/219134/380702/54198/240725/21886/114606/665113/17847/84092/269523/22414/22420/97064",41
"1398","C3","C3","GO:0198738","cell-cell signaling by wnt","41/1038","420/23239",2.53056221521491e-06,0.000366931521206162,0.000293456425308255,"11816/70495/26362/12156/12234/67488/12389/12505/109901/12388/330938/77938/14183/14275/14462/14463/230824/68259/22289/16842/107515/14160/18099/672511/207742/192199/20191/66072/219134/380702/54198/240725/21886/114606/665113/17847/84092/269523/22414/22420/97064",41
"1399","C3","C3","GO:0061564","axon development","45/1038","483/23239",2.9211030250229e-06,0.000412112372719447,0.000329590173463466,"11816/58208/12162/12368/12801/244682/13131/13175/330938/13430/12934/13518/13636/13654/14042/14183/14275/14462/101490/16568/93691/269473/17756/238505/105689/17919/18007/80883/18222/56177/18846/243743/19268/11858/20346/20352/26456/20357/214968/76965/20807/245857/223255/22330/22352",45
"1403","C3","C3","GO:0016236","macroautophagy","24/1038","188/23239",3.71251713311779e-06,0.000472666815484753,0.000378019074453021,"68118/100504663/66615/74374/17281/14466/15251/21821/16151/211134/18145/71648/18704/104009/244962/20773/67727/209815/68053/22320/269523/75909/74781/217695",24
"1404","C3","C3","GO:0048871","multicellular organismal homeostasis","44/1038","473/23239",3.90907026597307e-06,0.000479219993011981,0.000383260030708916,"268860/11304/11363/11433/11501/11539/54411/12389/22295/12638/56506/12801/13036/13615/26383/23882/14466/14775/195733/230824/15107/15183/26557/15901/16190/19062/104263/333050/107515/17202/67013/18559/18783/54683/13609/18174/20750/20807/20852/214531/12751/22095/22187/97064",44
"1406","C3","C3","GO:0006979","response to oxidative stress","39/1038","399/23239",4.28564304748458e-06,0.000507378527419803,0.000405780044312753,"11666/67689/11816/26362/12368/12633/11438/231207/13010/13070/69635/66841/14388/14463/93692/14763/14775/15251/15507/15926/238505/226646/23980/18779/18806/12795/11757/54683/18760/19156/54720/19733/18174/76650/20852/223255/22030/68015/246196",39
"1412","C3","C3","GO:0046496","nicotinamide nucleotide metabolic process","20/1038","144/23239",6.56910416233816e-06,0.000685814474548103,0.000548485623322803,"11674/11676/209692/14149/14571/15251/15277/15926/67834/16828/16832/107029/226518/74080/18641/54683/56857/21881/21991/269523",20
"1413","C3","C3","GO:0051346","negative regulation of hydrolase activity","38/1038","393/23239",7.28350024569603e-06,0.000733350188203744,0.000586502691352299,"11652/211673/54208/12505/12633/69362/69294/13010/13012/243312/16456/320415/14775/16150/16842/17756/223989/18125/15370/170721/245578/23980/18984/241289/74521/19733/80751/110651/68348/74069/20715/20708/20713/72281/20660/110213/225896/217695",38
"1420","C3","C3","GO:0061919","process utilizing autophagic mechanism","36/1038","367/23239",9.16156926242257e-06,0.000824541233618031,0.00065943346088508,"74159/68118/100504663/66615/74374/69635/17281/14463/14466/15251/15277/21821/16151/211134/18145/71648/18704/12795/18760/66824/104009/244962/20773/67727/209815/110213/12257/68053/22320/269523/22333/75909/271564/83669/74781/217695",36
"1427","C3","C3","GO:0098911","regulation of ventricular cardiac muscle cell action potential","6/1038","14/23239",1.72562553943191e-05,0.00138581004858993,0.00110831269463756,"12389/216033/13506/13511/67451/20191",6
