,status,family,pval,qval,genes,num_cells_expressed,C1,C3,C2,C4,cluster
Slc35d1,OK,negbinomial.size,0.00152558374384088,0.00645937580547242,Slc35d1,213,6.28871244564242,9.09362331964932,10.0326638418981,24.624369447343,C4
Slc35d2,OK,negbinomial.size,0.00269984358659637,0.0105332387183467,Slc35d2,80,5.90535276375089,14.7776852745403,3.24928364096386,2.22159844427237,C3
Slc35f5,OK,negbinomial.size,0.000127315198610529,0.00072048191804982,Slc35f5,152,6.20612841118152,15.1539104545457,25.3636573953096,4.32564806972833,C2
Slc37a1,OK,negbinomial.size,7.72416265220438e-07,6.69514179213645e-06,Slc37a1,19,0.0437329906254196,4.02985386267622,0.0463440079596163,3.38484425568619,C3
Slc37a2,OK,negbinomial.size,3.82266694517926e-38,3.32236249431357e-36,Slc37a2,72,1.7283096820509,15.2589833011104,0.0204402803530329,0.00149389432392111,C3
Slc37a3,OK,negbinomial.size,0.00110638090097494,0.00490398950008295,Slc37a3,162,18.9849885234449,7.44940376772903,15.118207926026,6.51991985836001,C1
Slc38a1,OK,negbinomial.size,5.14783756599256e-08,5.20162094354771e-07,Slc38a1,301,9.28955662673189,11.5369813362282,0.938422452264128,20.9025162994269,C4
Slc38a2,OK,negbinomial.size,0.0147181744875991,0.0438646613609793,Slc38a2,514,211.645688546815,181.808179697784,121.255957777037,179.664863351302,C1
Slc38a3,OK,negbinomial.size,1.18362543503426e-07,1.13959386009324e-06,Slc38a3,28,2.39825739438383,0.373067861827697,0.00372327610861208,0.00205785808053721,C1
Slc38a4,OK,negbinomial.size,3.15754994231153e-10,4.19149276655864e-09,Slc38a4,306,54.8911087852072,25.0554174089554,32.8055878733838,0.0758136298997771,C1
Slc39a1,OK,negbinomial.size,3.00702949492483e-08,3.13701706352134e-07,Slc39a1,553,74.0136568726995,152.537175838884,210.929582610737,120.604976146864,C2
Slc39a10,OK,negbinomial.size,3.01756686927974e-05,0.000196233380381927,Slc39a10,350,32.7842161083,31.9235706791462,19.1321728927481,5.64216799847947,C1
Slc39a11,OK,negbinomial.size,2.28160483472024e-05,0.000151827640915709,Slc39a11,43,0.837586667796373,6.96966577523935,7.53693728517065,7.25369240038581,C2
Slc39a13,OK,negbinomial.size,0.00263095592768948,0.0103082504105604,Slc39a13,120,2.92235742341788,3.12415924539842,13.797024151009,4.46765681751711,C2
Slc39a4,OK,negbinomial.size,4.13246444086776e-08,4.2389067067689e-07,Slc39a4,18,2.6858372652398,4.00819720860453,0,0,C3
Slc39a6,OK,negbinomial.size,0.000586622399664509,0.00280718896089456,Slc39a6,218,27.1352181613818,10.5925006660439,19.5031436802834,15.5167211591769,C1
Slc40a1,OK,negbinomial.size,3.6701283473971e-13,6.52056090228853e-12,Slc40a1,124,1.74527204182688,7.99332373386097,7.83840108692219,24.4232441898987,C4
Slc41a2,OK,negbinomial.size,2.32777008355423e-15,5.02384338670438e-14,Slc41a2,35,0.129541830867039,6.59858066252181,3.79264311849958,0.00420127864264871,C3
Slc41a3,OK,negbinomial.size,1.27344167862346e-12,2.15813969856832e-11,Slc41a3,63,1.49575325531964,18.5648492468111,1.71935350837423,0.614602016227371,C3
Slc43a2,OK,negbinomial.size,0.000754454166801652,0.00350471070695907,Slc43a2,20,0.255354467171361,0.178308739969412,0.00194666162921058,2.63823007866147,C4
Slc43a3,OK,negbinomial.size,0.000688953318007374,0.003239037474243,Slc43a3,172,12.6329301478426,9.45095954396364,23.3474358396345,2.02731768339885,C2
